ALK	nervous
APC	"nervous,colorectal,pancreas,gastrointestinal"
APOBEC3B	breast
ATM	"nervous,hematologic,non-hodgkin"
ATR	other
AXIN2	colorectal
BAP1	"melanoma,kidney"
BARD1	"uterus,breast,ovary"
BLM	"non-hodgkin,hematologic,squamous_cell,all"
BMPR1A	"gastrointestinal,colorectal"
BRCA1	"breast,ovary"
BRCA2	"breast,ovary,pancreas,hematologic"
BRIP1	"hematologic,breast"
BUB1B	bone_and_soft_tissue
CDC73	bone_and_soft_tissue
CDH1	gastrointestinal,stomach
CDH10	gastrointestinal,pancreas
CDK4	melanoma
CDKN1B	neuroendocrine
CDKN2A	"gastrointestinal,melanoma,pancreas"
CHEK2	breast
CTNNA1	gastrointestinal,stomach
CYLD	other
DDB2	"basal_cell,squamous_cell,melanoma"
DICER1	lung
EGFR	lung
ERCC2	"basal_cell,squamous_cell,melanoma"
ERCC3	"basal_cell,squamous_cell,melanoma"
ERCC4	"basal_cell,squamous_cell,melanoma"
ERCC5	"basal_cell,squamous_cell,melanoma"
EXT1	bone_and_soft_tissue
EXT2	bone_and_soft_tissue
FANCA	hematologic
FANCC	hematologic
FANCD2	hematologic
FANCE	hematologic
FANCF	hematologic
FANCG	hematologic
FAT1	gastrointestinal,pancreas
FEN1	breast
FH	kidney
FLCN	kidney
GPC3	kidney
HGF	bladder
HNF1A	other
HRAS	"nervous,bone_and_soft_tissue,bladder"
KDR	melanoma
KIT	"bone_and_soft_tissue,basal_cell,squamous_cell,melanoma"
LMO1	nervous
LZTR1	nervous,bone_and_soft_tissue
MAX	neuroendocrine
MEN1	neuroendocrine
MET	kidney
MLH1	"colorectal,uterus,ovary,nervous"
MPL	hematologic
MSH2	"colorectal,uterus,ovary"
MSH6	"colorectal,uterus,ovary"
MUC6	"colorectal,gastrointestinal,stomach"
MUTYH	colorectal
NBN	"non-hodgkin,nervous,bone_and_soft_tissue"
NF1	nervous
NF2	nervous
NTHL1	colorectal
PALB2	"kidney,breast,hematologic,nervous"
PDGFRA	bone_and_soft_tissue
PHOX2B	neuroblastoma
PMS1	"colorectal,ovary,uterus"
PMS2	"colorectal,uterus,nervous"
POLD1	colorectal
POLE	colorectal
POLQ	breast
PRF1	"non-hodgkin,hematologic"
PRKAR1A	thyroid
PTCH1	"basal_cell,nervous"
PTEN	"prostate,uterus,nervous"
PTPN13	other
RAD50	breast
RAD51C	"ovary,breast"
RAD51D	ovary
RB1	"bone_and_soft_tissue,nervous,breast,lung"
RECQL4	"bone_and_soft_tissue,basal_cell,squamous_cell"
RET	"thyroid,neuroendocrine"
SBDS	hematologic
SDHA	neuroendocrine
SDHAF2	neuroendocrine
SDHB	neuroendocrine
SDHC	neuroendocrine
SDHD	neuroendocrine
SETBP1	nervous
SMAD4	"gastrointestinal,colorectal"
SMARCB1	bone_and_soft_tissue
SMARCE1	nervous
SPOP	prostate
STAT3	hematologic
STK11	"ovary,gastrointestinal,testis,pancreas"
SUFU	nervous
TERT	melanoma
TGFBR2	colorectal
TMEM127	"neuroendocrine,kidney"
TP53	all
TP63	lung
TSC1	kidney
TSC2	kidney
USP9X	colorectal
VHL	"kidney,neuroendocrine"
WAS	non-hodgkin
WRN	"bone_and_soft_tissue,nervous,all"
WT1	kidney
XPA	"melanoma,basal_cell,squamous_cell"
XPC	"melanoma,basal_cell,squamous_cell"
